"Fecha","#","Tipo","Motivo","Descripci?n","Observaciones"
"2025-06-03T00:00:00-07:00","2576","Baja","Otro trabajo mejor compen","Separaci?n voluntari","VOLUNTARIA"
"2025-06-05T00:00:00-07:00","2526","Baja","Otra raz?n","Otra","Voluntaria"
"2025-06-09T00:00:00-07:00","2543","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-06-10T00:00:00-07:00","2091","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-06-10T00:00:00-07:00","2201","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-06-12T00:00:00-07:00","1124","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
"2025-06-13T00:00:00-07:00","2564","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-06-13T00:00:00-07:00","2574","Baja","Rescisi?n por disciplina","Rescisi?n de contrat",""
"2025-06-14T00:00:00-07:00","2655","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-06-16T00:00:00-07:00","2652","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-06-17T00:00:00-07:00","2586","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-06-17T00:00:00-07:00","2635","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-06-18T00:00:00-07:00","2616","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-06-18T00:00:00-07:00","2666","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-06-23T00:00:00-07:00","2471","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-06-23T00:00:00-07:00","2599","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-06-29T00:00:00-07:00","2689","Baja","Abandono / No regres?","Abandono de empleo","Baja con fecha del 03/07/2025 "
"2025-06-30T00:00:00-07:00","1882","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-06-30T00:00:00-07:00","2208","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-06-30T00:00:00-07:00","2623","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-06-30T00:00:00-07:00","2677","Baja","Abandono / No regres?","Abandono de empleo","?rea Surtido"
"2025-07-01T00:00:00-07:00","2622","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-07-01T00:00:00-07:00","2685","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-02T00:00:00-07:00","2541","Baja","Rescisi?n por disciplina","Rescisi?n de contrat",""
"2025-07-03T00:00:00-07:00","2602","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-03T00:00:00-07:00","2625","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-07-04T00:00:00-07:00","2634","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-07-04T00:00:00-07:00","2674","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-07-06T00:00:00-07:00","2017","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-08T00:00:00-07:00","2018","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-07-11T00:00:00-07:00","2175","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-13T00:00:00-07:00","2695","Baja","Abandono / No regres?","Abandono de empleo","Sin cuenta bancaria"
"2025-07-16T00:00:00-07:00","1864","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-16T00:00:00-07:00","2690","Baja","Rescisi?n por disciplina","Rescisi?n de contrat","fue renuncia rescisi?n de cont"
"2025-07-18T00:00:00-07:00","2698","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-07-21T00:00:00-07:00","2628","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-22T00:00:00-07:00","2597","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-07-22T00:00:00-07:00","2618","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-22T00:00:00-07:00","2684","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-07-24T00:00:00-07:00","2473","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-07-24T00:00:00-07:00","2527","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-24T00:00:00-07:00","2609","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-24T00:00:00-07:00","2679","Baja","Rescisi?n por disciplina","Rescisi?n de contrat","Presento receta falsa."
"2025-07-25T00:00:00-07:00","2669","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-07-29T00:00:00-07:00","2370","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-30T00:00:00-07:00","2675","Baja","Cambio de ciudad","Separaci?n voluntari","Renuncia voluntaria"
"2025-07-30T00:00:00-07:00","2683","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-07-31T00:00:00-07:00","2701","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-08-02T00:00:00-07:00","2700","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-08-02T00:00:00-07:00","2707","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-08-05T00:00:00-07:00","2668","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-08-06T00:00:00-07:00","2198","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-08-07T00:00:00-07:00","2711","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-08-08T00:00:00-07:00","2648","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-08-08T00:00:00-07:00","2713","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-08-12T00:00:00-07:00","2287","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-08-14T00:00:00-07:00","2697","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-08-17T00:00:00-07:00","2727","Baja","Abandono / No regres?","Abandono de empleo","Sin cta bancaria."
"2025-08-17T00:00:00-07:00","2732","Baja","Abandono / No regres?","Abandono de empleo","No se cuenta con cta bancaria."
"2025-08-18T00:00:00-07:00","2478","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-08-23T00:00:00-07:00","1850","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-08-27T00:00:00-07:00","2011","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-08-27T00:00:00-07:00","2662","Baja","Otra raz?n","Otra","RENUNCIA VOLUNTARIA"
"2025-08-28T00:00:00-07:00","2340","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-08-28T00:00:00-07:00","2673","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-08-29T00:00:00-07:00","2641","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
"2025-08-29T00:00:00-07:00","2712","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-09-02T00:00:00-07:00","2439","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-09-02T00:00:00-07:00","2708","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-09-04T00:00:00-07:00","2720","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-09-05T00:00:00-07:00","1171","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-09-05T00:00:00-07:00","2606","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-09-12T00:00:00-07:00","2651","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-09-12T00:00:00-07:00","2653","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-09-15T00:00:00-07:00","2678","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-09-18T00:00:00-07:00","2664","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-09-19T00:00:00-07:00","1013","Baja","Otra raz?n","Otra","RENUNCIA VOLUNTARIA"
"2025-09-20T00:00:00-07:00","2611","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-09-23T00:00:00-07:00","2593","Baja","Otra raz?n","Otra","Renuncia Voluntaria"
"2025-09-24T00:00:00-07:00","2687","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-09-26T00:00:00-07:00","2676","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-09-26T00:00:00-07:00","2734","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-09-29T00:00:00-07:00","550","Baja","Cambio de domicilio","Separaci?n voluntari",""
"2025-09-29T00:00:00-07:00","2348","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-09-30T00:00:00-07:00","2658","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-10-01T00:00:00-07:00","2373","Baja","Otra raz?n","Otra","VOLUNTARIA"
"2025-10-06T00:00:00-07:00","2480","Baja","Otra raz?n","Otra","Voluntaria"
"2025-10-06T00:00:00-07:00","2737","Baja","Otra raz?n","Otra","Voluntaria"
"2025-10-07T00:00:00-07:00","2277","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
"2025-10-07T00:00:00-07:00","2752","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-10-13T00:00:00-07:00","2756","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-10-19T00:00:00-07:00","2762","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-10-25T00:00:00-07:00","2755","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-10-25T00:00:00-07:00","2765","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-10-27T00:00:00-07:00","2660","Baja","Falta quien cuide hijos","Separaci?n voluntari",""
"2025-10-27T00:00:00-07:00","2706","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-10-28T00:00:00-07:00","2760","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-10-30T00:00:00-07:00","2753","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-10-30T00:00:00-07:00","2761","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-10-31T00:00:00-07:00","2436","Baja","Cambio de ciudad","Separaci?n voluntari",""
"2025-10-31T00:00:00-07:00","2643","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-11-01T00:00:00-07:00","2766","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-11-03T00:00:00-08:00","2518","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat","Por constantes faltas, constan"
"2025-11-04T00:00:00-08:00","2585","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat","Por constantes faltas y mala a"
"2025-11-15T00:00:00-08:00","1130","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-11-16T00:00:00-08:00","2771","Baja","Abandono / No regres?","Abandono de empleo","Sin cuenta bancaria."
"2025-11-21T00:00:00-08:00","2047","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
"2025-11-24T00:00:00-08:00","944","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-11-24T00:00:00-08:00","1906","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-11-24T00:00:00-08:00","2343","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-11-27T00:00:00-08:00","1375","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-11-28T00:00:00-08:00","2736","Baja","Cambio de ciudad","Separaci?n voluntari",""
"2025-11-30T00:00:00-08:00","2779","Baja","Abandono / No regres?","Abandono de empleo","Ya cumpli? con el periodo de 4"
"2025-12-01T00:00:00-08:00","2128","Baja","Falta quien cuide hijos","Separaci?n voluntari",""
"2025-12-01T00:00:00-08:00","2688","Baja","Otra raz?n","Otra","Problemas personales"
"2025-12-02T00:00:00-08:00","2749","Baja","Cambio de domicilio","Separaci?n voluntari","Problemas personales."
"2025-12-03T00:00:00-08:00","2744","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-12-03T00:00:00-08:00","2746","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-12-04T00:00:00-08:00","2452","Baja","Abandono / No regres?","Abandono de empleo",""
"2025-12-05T00:00:00-08:00","2013","Baja","Rescisi?n por disciplina","Rescisi?n de contrat",""
"2025-12-05T00:00:00-08:00","2250","Baja","Rescisi?n por disciplina","Rescisi?n de contrat",""
"2025-12-05T00:00:00-08:00","2254","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
"2025-12-05T00:00:00-08:00","2645","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-12-08T00:00:00-08:00","2649","Baja","Motivos de salud","Separaci?n voluntari",""
"2025-12-09T00:00:00-08:00","2758","Baja","Motivos de salud","Separaci?n voluntari","Motivos de salud por su madre,"
"2025-12-11T00:00:00-08:00","2024","Baja","Rescisi?n por desempe?o","Rescisi?n de contrat",""
"2025-12-11T00:00:00-08:00","2724","Baja","T?rmino del contrato","T?rmino del contrato",""
"2025-12-19T00:00:00-08:00","2702","Baja","Otro trabajo mejor compen","Separaci?n voluntari",""
